id,title,productImgSrc,detailImgSrc,amount,originalAmount,sale,categoryId,createdAt,updatedAt
117,"돈봉투 블랙에디션. 용돈",public/image/product/big/117.jpg,public/image/product/detail/117.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
118,"넛때문이야. 아몬드",public/image/product/big/118.jpg,public/image/product/detail/118.jpg,2500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
119,"배짱이 3기 스페셜패키지",public/image/product/big/119.jpg,public/image/product/detail/119.jpg,2500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
120,"[한정판] 배짱이 노트 set",public/image/product/big/120.jpg,public/image/product/detail/120.jpg,4500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
121,"[한정판] 배짱이 레터링시트지 set",public/image/product/big/121.jpg,public/image/product/detail/121.jpg,5000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
122,"[한정판] 배짱이 돗자리",public/image/product/big/122.jpg,public/image/product/detail/122.jpg,11900,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
123,"맥주짠 세트",public/image/product/big/123.jpg,public/image/product/detail/123.jpg,10900,0,0,8,"2021-08-17 00:52:26","2021-08-17 00:52:26"
124,"매거진F No.01 salt",public/image/product/big/124.jpg,public/image/product/detail/124.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
125,"보드마카. 막상마카",public/image/product/big/125.jpg,public/image/product/detail/125.jpg,13500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
126,"캐리어커버. 짐캐리",public/image/product/big/126.jpg,public/image/product/detail/126.jpg,13500,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
127,"세븐일레븐X배달의민족. 얼음땡",public/image/product/big/127.jpg,public/image/product/detail/127.jpg,13500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
128,"매거진F No.02 cheese",public/image/product/big/128.jpg,public/image/product/detail/128.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
129,"세븐일레븐X배민. 주문하신 커피 5종",public/image/product/big/129.jpg,public/image/product/detail/129.jpg,13500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
130,"제 2회 배민 치믈리에 자격시험 (7/5)",public/image/product/big/130.jpg,public/image/product/detail/130.jpg,5000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
131,"제 2회 배민 치믈리에 자격시험 (7/10)",public/image/product/big/131.jpg,public/image/product/detail/131.jpg,5000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
132,"제 2회 배민 치믈리에 자격시험 (7/12)",public/image/product/big/132.jpg,public/image/product/detail/132.jpg,5000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
133,"[EVENT] 아, 시원하다~",public/image/product/big/133.jpg,public/image/product/detail/133.jpg,5000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
134,치슐랭가이드,public/image/product/big/134.jpg,public/image/product/detail/134.jpg,11520,12800,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
135,"매거진F No.03 chicken",public/image/product/big/135.jpg,public/image/product/detail/135.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
136,"씻고자자 목욕선물세트",public/image/product/big/136.jpg,public/image/product/detail/136.jpg,13500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
137,"효자손. 혼자서도 잘해요",public/image/product/big/137.jpg,public/image/product/detail/137.jpg,12900,0,0,8,"2021-08-17 00:52:26","2021-08-17 00:52:26"
138,"추석연휴 배송공지",public/image/product/big/138.jpg,public/image/product/detail/138.jpg,12900,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
139,"매거진F No.04 Tomato",public/image/product/big/139.jpg,public/image/product/detail/139.jpg,13500,15000,10,3,"2021-08-17 00:52:26","2021-08-17 00:52:26"
140,"무릎담요. 외롭지 않아 단지 추울 뿐",public/image/product/big/140.jpg,public/image/product/detail/140.jpg,13500,0,0,2,"2021-08-17 00:52:26","2021-08-17 00:52:26"
141,"더부스X배달의민족. 치믈리에일",public/image/product/big/141.jpg,public/image/product/detail/141.jpg,13500,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
142,"컴퓨터싸인펜. 오늘이 전설이 될 것이다",public/image/product/big/142.jpg,public/image/product/detail/142.jpg,1000,0,0,1,"2021-08-17 00:52:26","2021-08-17 00:52:26"
143,"더부스X배달의민족. 치믈리에일 맥주잔",public/image/product/big/143.jpg,public/image/product/detail/143.jpg,1000,0,0,9,"2021-08-17 00:52:26","2021-08-17 00:52:26"
144,"2019 일력. 여기여기 붙어라",public/image/product/big/144.jpg,public/image/product/detail/144.jpg,1000,0,0,10,"2021-08-17 00:52:26","2021-08-17 00:52:26"
